,Media Source,Tweet,Date,Compound,Positive,Negative,Neutral,Dates
99,@BBC,"Sea dragons are so elegant 😍 #Oceans

https://t.co/yulAjV8D0S",Sun Sep 23 15:03:04 +0000 2018,0.8058,0.447,0.0,0.553,2018-09-23 15:03:04
98,@BBC,"'We're in love but never have sex'. 

https://t.co/IOgVh8eiFC https://t.co/dCLDcKhQ0Y",Sun Sep 23 16:04:03 +0000 2018,0.3818,0.245,0.0,0.755,2018-09-23 16:04:03
97,@BBC,"Falling leaves, dramatic skies, misty mornings... 🍂🌰🦊

7 signs that autumn is well and truly on its way. 👉… https://t.co/iNXWoE3zcW",Sun Sep 23 17:02:01 +0000 2018,0.5267,0.221,0.071,0.708,2018-09-23 17:02:01
96,@BBC,"🤔📆 Quiz: Can you guess which celebrity is the oldest? 

https://t.co/EVdI3SRIxf https://t.co/7hc2mzrx3B",Sun Sep 23 18:02:04 +0000 2018,0.0,0.0,0.0,1.0,2018-09-23 18:02:04
95,@BBC,"Get ready to learn the truth.

Don’t miss the epic finale of #Bodyguard. Tonight at 9pm on @BBCOne.

https://t.co/WBN1aXFHDl",Sun Sep 23 19:04:06 +0000 2018,0.4939,0.214,0.071,0.714,2018-09-23 19:04:06
94,@BBC,"RT @BBCOne: Just David Budd, having the epitome of a VERY BAD DAY. #Bodyguard https://t.co/uuz9xTSusb",Sun Sep 23 20:32:23 +0000 2018,-0.7398,0.0,0.288,0.712,2018-09-23 20:32:23
93,@BBC,"RT @BBCOne: 157 crew.
88 shoot days.
56 cast.
23 stunt performers.
6 episodes.
2 directors.
1 writer.
1 epic finale. 

Thanks for watching…",Sun Sep 23 22:04:30 +0000 2018,0.128,0.124,0.103,0.773,2018-09-23 22:04:30
92,@BBC,This is the most hardcore baptism you’ll ever see - a mum carrying her baby to a church up a near-vertical cliff fa… https://t.co/RXxvIRWdyS,Mon Sep 24 07:02:04 +0000 2018,0.0,0.0,0.0,1.0,2018-09-24 07:02:04
91,@BBC,There are plans for scientists in Russia to attempt to bring woolly mammoths back from extinction. 🔬… https://t.co/31HyafKzgN,Mon Sep 24 07:31:07 +0000 2018,0.0,0.0,0.0,1.0,2018-09-24 07:31:07
90,@BBC,Mosquitoes are transferring plastics into the food chain. 👉 https://t.co/tjdOPX0zrn https://t.co/O4VxfryLpA,Mon Sep 24 08:02:05 +0000 2018,0.0,0.0,0.0,1.0,2018-09-24 08:02:05
89,@BBC,"RT @BBCSportWales: Are you brave enough to dive off a cliff? 

This teenager is - and he's about to make history 😲 https://t.co/8fOgNK7URM",Mon Sep 24 08:49:40 +0000 2018,0.7184,0.231,0.0,0.769,2018-09-24 08:49:40
88,@BBC,"😳😂 ""I'm going to leave it there because the lawyers are on the phone""

When @BBCSimonMcCoy sat down for a serious i… https://t.co/HAuyMtgM2c",Mon Sep 24 09:03:02 +0000 2018,-0.128,0.0,0.111,0.889,2018-09-24 09:03:02
87,@BBC,"""Girls have rights and I have rights to an education."" 💛

This young woman choose to teach instead of becoming a te… https://t.co/lFAjrelhXI",Mon Sep 24 10:02:07 +0000 2018,0.0,0.0,0.0,1.0,2018-09-24 10:02:07
86,@BBC,"Christina set up ‘Sandwich Angels’ to help feed Manchester’s homeless community. (Via @bbcthree)

https://t.co/Xq0WVgZFFe",Mon Sep 24 11:08:45 +0000 2018,0.4019,0.172,0.0,0.828,2018-09-24 11:08:45
85,@BBC,"RT @bbcpress: Who were your #BluePeter presenters growing up? 🎂6⃣0⃣🎂 The @CBBC show will celebrate 60 years next month. Facts, interviews a…",Mon Sep 24 11:36:41 +0000 2018,0.6597,0.213,0.0,0.787,2018-09-24 11:36:41
84,@BBC,"So. Awkward. 🍗😳😂

When @lilyallen had to turn down chicken wings from @Drake... 

https://t.co/4pCjbGbUjY",Mon Sep 24 13:01:06 +0000 2018,-0.2247,0.0,0.127,0.873,2018-09-24 13:01:06
83,@BBC,"✈️Is this one of the world's most beautiful airports?

https://t.co/ewqnUMEhZY https://t.co/aFxlQBAET6",Mon Sep 24 13:59:07 +0000 2018,0.6361,0.295,0.0,0.705,2018-09-24 13:59:07
82,@BBC,"Papa… what? 🤔😂 

A new series of Letterbox starts today at 6pm on @BBCTwo. 
https://t.co/NLP3Hx0YSK https://t.co/c8myHijbdz",Mon Sep 24 15:06:34 +0000 2018,0.0,0.0,0.0,1.0,2018-09-24 15:06:34
81,@BBC,"RT @bbcdoctorwho: 1,2,3,4…. Thirteen #DoctorWho #Sheffield https://t.co/xaDWu2DmtF",Mon Sep 24 15:17:27 +0000 2018,0.0,0.0,0.0,1.0,2018-09-24 15:17:27
80,@BBC,RT @BBCOne: How easy is it to get help for mental health when you need it? 14-year-old Jess was refused treatment for anxiety but went on t…,Mon Sep 24 15:53:55 +0000 2018,0.2144,0.128,0.099,0.773,2018-09-24 15:53:55
79,@BBC,"RT @BBCOne: We're doing this to the letter, fellas. #LineOfDuty is back in t-w-e-n-t-y n-i-n-e-t-e-e-n. @martin_compston @Vicky_McClure htt…",Mon Sep 24 16:26:11 +0000 2018,0.0,0.0,0.0,1.0,2018-09-24 16:26:11
78,@BBC,"✨🕺💃 @ZoeTheBall is back to give the lowdown on this series of @BBCStrictly!

Strictly - It Takes Two | 6:30pm |… https://t.co/6rLJAtcYYx",Mon Sep 24 16:32:08 +0000 2018,-0.2714,0.0,0.099,0.901,2018-09-24 16:32:08
77,@BBC,"Keeping the head on is an unwritten rule of the job... 😳️⚽️

A video of Colorado's football mascot accidentally sho… https://t.co/vn9YzZeMLj",Mon Sep 24 18:02:07 +0000 2018,-0.34,0.0,0.112,0.888,2018-09-24 18:02:07
76,@BBC,"️⚽️🏆 @HKane, @hazardeden10 and @MoSalah are on the shortlist for the best men's player, while England's @LucyBronze… https://t.co/3cD3mKTSMk",Mon Sep 24 20:45:07 +0000 2018,0.6369,0.198,0.0,0.802,2018-09-24 20:45:07
